Census Tract,Loan Amount
21111012301,165000
21111011110,175000
21111011506,205000
21111011711,165000
21111011113,125000
21111011200,65000
21111011709,245000
21111012302,305000
21111011711,175000
21111012302,305000
21111011711,165000
21111011709,245000
21111009000,175000
21111012104,95000
21111001800,105000
21111009300,235000
21111010307,545000
21111006300,205000
21111012604,125000
21111010403,255000
21111013100,305000
21111006800,115000
21111009300,55000
21111012603,115000
21111011302,15000
21111011603,435000
21111010307,335000
21111008300,95000
21111009000,105000
21111011800,125000
21111011405,135000
21111004600,95000
21111011302,115000
21111011302,115000
21111011111,225000
21111010901,135000
21111010307,95000
21111011711,215000
21111011706,215000
21111011905,105000
21111011111,235000
21111011111,185000
21111009300,105000
21111011708,145000
21111011707,245000
21111011711,235000
21111011707,185000
21111012407,175000
21111012103,85000
21111011102,105000
21111011505,175000
21111011517,145000
21111010312,545000
21111011003,155000
21111012411,235000
21111010307,295000
21111012003,445000
21111007400,235000
21111008900,215000
21111011708,285000
21111010406,285000
21111012502,215000
21111012503,275000
21111011114,245000
21111012601,195000
21111011907,185000
21111011513,225000
21111012105,245000
21111003000,285000
21111011515,265000
21111011517,235000
21111010311,225000
21111000800,65000
21111010007,285000
21111005100,335000
21111010314,275000
21111012105,215000
21111010402,255000
21111011709,265000
21111010311,145000
21111010313,545000
21111010314,295000
21111010307,305000
21111010317,295000
21111011505,195000
21111011508,165000
21111009300,115000
21111012302,155000
21111011709,195000
21111010313,295000
21111011515,265000
21111007100,125000
21111012407,165000
21111012407,165000
21111011711,155000
21111010319,215000
21111011514,215000
21111011517,155000
21111011711,165000
21111012409,75000
21111004400,185000
21111007100,125000
21111010311,115000
21111011709,425000
21111010701,115000
21111009900,215000
21111009600,95000
21111011711,245000
21111011114,205000
21111010702,155000
21111012408,105000
21111011403,115000
21111011713,245000
21111012202,115000
21111011708,255000
21111011706,105000
21111010103,185000
21111011405,155000
21111010307,295000
21111010405,105000
21111011111,255000
21111009800,225000
21111009300,175000
21111010403,625000
21111010008,215000
21111008500,865000
21111011005,105000
21111007501,755000
21111010601,225000
21111012410,315000
21111006800,245000
21111005600,75000
21111010006,225000
21111012801,115000
21111011302,115000
21111011709,215000
21111012408,115000
